StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
00:05:29.218,00:05:29.218,28,,-0.05805005;-0.2920734,0.6782275,28,
00:05:29.218,00:05:29.218,28,,-0.06120018;-0.2973136,0.6797444,28,
00:05:29.264,00:05:29.264,28,,-0.05815058;-0.2937272,0.6771655,28,
00:05:33.751,00:05:33.751,29,,-0.03901048;-0.1948633,0.6908457,29,
00:05:33.805,00:05:33.805,29,,-0.04214475;-0.199034,0.6928986,29,
00:05:33.805,00:05:33.805,29,,-0.04131212;-0.1975891,0.6928411,29,
00:05:33.844,00:05:33.844,29,,-0.04133146;-0.1970081,0.6926745,29,
00:05:33.844,00:05:33.844,29,,-0.04164873;-0.1970029,0.6924927,29,
00:05:33.895,00:05:33.895,29,,-0.04217;-0.1980227,0.6923838,29,
00:05:33.895,00:05:33.895,29,,-0.04208791;-0.1982751,0.6923208,29,
00:05:33.948,00:05:33.948,29,,-0.04228671;-0.1979306,0.6921628,29,
00:05:33.948,00:05:33.948,29,,-0.04257043;-0.1981752,0.6920409,29,
00:05:34.000,00:05:34.000,29,,-0.0427795;-0.1982718,0.692021,29,
00:05:34.000,00:05:34.000,29,,-0.04324305;-0.1981252,0.6916916,29,
00:05:34.000,00:05:34.000,29,,-0.04069846;-0.1941884,0.6897721,29,
00:05:34.051,00:05:34.051,29,,-0.04358766;-0.1986741,0.6905493,29,
00:05:34.051,00:05:34.051,29,,-0.04369593;-0.1992615,0.6898627,29,
00:05:34.102,00:05:34.102,29,,-0.04363961;-0.1997979,0.6888792,29,
00:05:34.102,00:05:34.102,29,,-0.04361704;-0.1999628,0.6880646,29,
00:05:34.147,00:05:34.147,29,,-0.04400656;-0.2002138,0.6869441,29,
00:05:34.148,00:05:34.148,29,,-0.04481523;-0.2002622,0.686224,29,
00:05:34.197,00:05:34.197,29,,-0.04508375;-0.200799,0.6852571,29,
00:05:34.197,00:05:34.197,29,,-0.04647036;-0.2018075,0.6846151,29,
00:05:34.197,00:05:34.197,29,,-0.04325204;-0.1957942,0.6813805,29,
00:05:34.244,00:05:34.244,29,,-0.04355767;-0.1959159,0.6807585,29,
00:05:34.244,00:05:34.244,29,,-0.04853371;-0.2027832,0.6824932,29,
