Timestamp;Annotation ID;Width;Color (r,g,b);Point Index;Position (x,y,z);Position` (x,y,z)
637326632238110107;37;0.001999997;0,187,255;30;0.05349884,0.04434988,0.5786688;0.05349884,0.04434988,0.5786688
637326632238110107;37;0.001999997;0,187,255;31;0.05176205,0.04242536,0.579393;0.05176205,0.04242536,0.579393
637326632238422586;37;0.001999997;0,187,255;32;0.04950059,0.0407086,0.5799476;0.04950059,0.0407086,0.5799476
637326632238422586;37;0.001999997;0,187,255;33;0.04777439,0.0393481,0.5803914;0.04777439,0.0393481,0.5803914
637326632238759867;37;0.001999997;0,187,255;34;0.04491816,0.03772801,0.5808988;0.04491816,0.03772801,0.5808988
637326632238759867;37;0.001999997;0,187,255;35;0.04196407,0.03609258,0.5816088;0.04196407,0.03609258,0.5816088
637326632239181464;37;0.001999997;0,187,255;36;0.03994722,0.03473961,0.5823063;0.03994722,0.03473961,0.5823063
637326632239181464;37;0.001999997;0,187,255;37;0.0368503,0.03322381,0.5831292;0.0368503,0.03322381,0.5831292
637326632239612984;37;0.001999997;0,187,255;38;0.03352195,0.0316065,0.5840634;0.03352195,0.0316065,0.5840634
637326632240123866;37;0.001999997;0,187,255;39;0.03265272,0.03101432,0.5844859;0.03265272,0.03101432,0.5844859
637326632240123866;37;0.001999997;0,187,255;40;0.02797033,0.02891833,0.5859972;0.02797033,0.02891833,0.5859972
637326632240436358;37;0.001999997;0,187,255;41;0.0244562,0.02744538,0.5869333;0.0244562,0.02744538,0.5869333
637326632240436358;37;0.001999997;0,187,255;42;0.02211532,0.02657646,0.5876569;0.02211532,0.02657646,0.5876569
637326632240942264;37;0.001999997;0,187,255;43;0.01850966,0.02536672,0.5888566;0.01850966,0.02536672,0.5888566
637326632240942264;37;0.001999997;0,187,255;44;0.01494952,0.02418095,0.5899941;0.01494952,0.02418095,0.5899941
637326632241254750;37;0.001999997;0,187,255;45;0.01258124,0.02339238,0.5905348;0.01258124,0.02339238,0.5905348
637326632241259709;37;0.001999997;0,187,255;46;0.008691743,0.02262038,0.5911308;0.008691743,0.02262038,0.5911308
637326632241666424;37;0.001999997;0,187,255;47;0.005231671,0.02211791,0.5915445;0.005231671,0.02211791,0.5915445
637326632241666424;37;0.001999997;0,187,255;48;0.002681706,0.02200723,0.5916013;0.002681706,0.02200723,0.5916013
637326632242112842;37;0.001999997;0,187,255;49;-0.00118012,0.02195674,0.5915084;-0.00118012,0.02195674,0.5915084
